date,time,origin,destination,ridership
2026-01-15,08:00,Woodlands CIQ,JB Sentral,331
2026-01-15,09:00,Woodlands CIQ,JB Sentral,323
2026-01-15,11:00,JB Sentral,Woodlands CIQ,273
2026-01-15,12:00,JB Sentral,Woodlands CIQ,200
2026-01-15,12:00,Woodlands CIQ,JB Sentral,325
2026-01-15,13:00,Woodlands CIQ,JB Sentral,258
2026-01-15,14:00,JB Sentral,Woodlands CIQ,170
2026-01-15,15:00,JB Sentral,Woodlands CIQ,307
2026-01-15,15:00,Woodlands CIQ,JB Sentral,178
2026-01-15,16:00,JB Sentral,Woodlands CIQ,321
2026-01-15,16:00,Woodlands CIQ,JB Sentral,114
2026-01-15,17:00,JB Sentral,Woodlands CIQ,322
2026-01-15,17:00,Woodlands CIQ,JB Sentral,299
2026-01-15,18:00,Woodlands CIQ,JB Sentral,320
2026-01-15,19:00,JB Sentral,Woodlands CIQ,320
2026-01-15,20:00,JB Sentral,Woodlands CIQ,320
2026-01-15,20:00,Woodlands CIQ,JB Sentral,321
2026-01-15,21:00,JB Sentral,Woodlands CIQ,320
2026-01-15,21:00,Woodlands CIQ,JB Sentral,321
2026-01-15,22:00,JB Sentral,Woodlands CIQ,208
2026-01-15,22:00,Woodlands CIQ,JB Sentral,317
2026-01-15,23:00,Woodlands CIQ,JB Sentral,53
2026-01-16,05:00,JB Sentral,Woodlands CIQ,640
2026-01-16,06:00,JB Sentral,Woodlands CIQ,638
2026-01-16,07:00,JB Sentral,Woodlands CIQ,637
2026-01-16,08:00,JB Sentral,Woodlands CIQ,322
2026-01-16,08:00,Woodlands CIQ,JB Sentral,324
2026-01-16,09:00,Woodlands CIQ,JB Sentral,319
2026-01-16,10:00,JB Sentral,Woodlands CIQ,283
2026-01-16,11:00,JB Sentral,Woodlands CIQ,210
2026-01-16,11:00,Woodlands CIQ,JB Sentral,324
2026-01-16,12:00,JB Sentral,Woodlands CIQ,198
2026-01-16,12:00,Woodlands CIQ,JB Sentral,328
2026-01-16,13:00,Woodlands CIQ,JB Sentral,316
2026-01-16,14:00,JB Sentral,Woodlands CIQ,200
2026-01-16,15:00,JB Sentral,Woodlands CIQ,258
2026-01-16,15:00,Woodlands CIQ,JB Sentral,315
